sample_barcode	sample_id
GTEX-UJHI-0226-SM-4IHJL	SRR1079023
GTEX-XV7Q-0126-SM-4BRVK	SRR1079046
GTEX-QMR6-0008-SM-447AV	SRR1079070
GTEX-R55C-0726-SM-48FCN	SRR1079094
GTEX-XPVG-2626-SM-4B669	SRR1079118
GTEX-T2IS-1926-SM-4DM74	SRR1079143
GTEX-XLM4-0011-R9A-SM-4AT45	SRR1079168
GTEX-SE5C-0426-SM-4BRUI	SRR1079189
GTEX-XV7Q-1526-SM-4BRWB	SRR1079213
GTEX-TMZS-0008-SM-47JWM	SRR1079237
GTEX-X638-0005-SM-47JX6	SRR1079259
GTEX-XOTO-0011-R6B-SM-4B65X	SRR1079281
GTEX-X8HC-1326-SM-46MWB	SRR1079306
GTEX-XV7Q-1626-SM-4BRWC	SRR1079356
GTEX-QLQ7-1026-SM-447BB	SRR1079380
GTEX-XK95-0226-SM-4AT58	SRR1079434
GTEX-XPT6-1626-SM-4B655	SRR1079455
GTEX-RUSQ-0926-SM-47JWU	SRR1079480
GTEX-U3ZH-0426-SM-4DXSE	SRR1079502
GTEX-XK95-0426-SM-4AT4R	SRR1079522
GTEX-QV31-0426-SM-447C4	SRR1079543
GTEX-QCQG-1626-SM-48U26	SRR1079567
GTEX-XLM4-0011-R2B-SM-4AT5Z	SRR1079591
GTEX-SNMC-1026-SM-4DM7K	SRR1079612
GTEX-V955-2526-SM-4JBJG	SRR1079636
GTEX-XUW1-0005-SM-4BOQ7	SRR1079660
GTEX-U3ZN-0926-SM-4DXTU	SRR1079686
GTEX-QCQG-1226-SM-48U23	SRR1079706
GTEX-VJYA-0726-SM-4KL1T	SRR1079730
GTEX-XQ8I-1926-SM-4BOOK	SRR1079754
GTEX-VJYA-0126-SM-4KL1P	SRR1079782
GTEX-WEY5-1026-SM-4LMK9	SRR1079806
GTEX-U4B1-1226-SM-4DXT7	SRR1079830
GTEX-SNMC-1626-SM-4DM52	SRR1079850
GTEX-XUJ4-1526-SM-4BONU	SRR1079874
GTEX-QV31-0626-SM-447C5	SRR1079900
