gene1,gene2,mut11,mut10,mut01,mut00,odds_ratio,cooccur_sign,odds_ratio_ci,p,q,cooccur_score,n_mutated_gene1,n_mutated_gene2,perc_mutated_gene1,perc_mutated_gene2,perc_cooccur,perc_mutexcl,mut1,mut2,label1,label2
IDH1,KIAA1109,0,9,7,652,0,-1,"0,86.0572726440323",1,1,0,9,7,1.347305389221557,1.0479041916167664,0,100,9,7,IDH1 (9),KIAA1109 (7)
IDH1,LRP1,0,9,7,652,0,-1,"0,86.0572726440323",1,1,0,9,7,1.347305389221557,1.0479041916167664,0,100,9,7,IDH1 (9),LRP1 (7)
IDH1,MUC5AC,0,9,7,652,0,-1,"0,86.0572726440323",1,1,0,9,7,1.347305389221557,1.0479041916167664,0,100,9,7,IDH1 (9),MUC5AC (7)
IDH1,MYH14,0,9,7,652,0,-1,"0,86.0572726440323",1,1,0,9,7,1.347305389221557,1.0479041916167664,0,100,9,7,IDH1 (9),MYH14 (7)
IDH1,RP1L1,0,9,7,652,0,-1,"0,86.0572726440323",1,1,0,9,7,1.347305389221557,1.0479041916167664,0,100,9,7,IDH1 (9),RP1L1 (7)
IDH1,CELSR1,0,9,7,652,0,-1,"0,86.0572726440323",1,1,0,9,7,1.347305389221557,1.0479041916167664,0,100,9,7,IDH1 (9),CELSR1 (7)
IDH1,CENPF,0,9,7,652,0,-1,"0,86.0572726440323",1,1,0,9,7,1.347305389221557,1.0479041916167664,0,100,9,7,IDH1 (9),CENPF (7)
IDH1,IGFN1,0,9,7,652,0,-1,"0,86.0572726440323",1,1,0,9,7,1.347305389221557,1.0479041916167664,0,100,9,7,IDH1 (9),IGFN1 (7)
IDH1,TNC,0,9,7,652,0,-1,"0,86.0572726440323",1,1,0,9,7,1.347305389221557,1.0479041916167664,0,100,9,7,IDH1 (9),TNC (7)
KDM6A,KRAS,0,9,9,650,0,-1,"0,66.4945532866584",1,1,0,9,9,1.347305389221557,1.347305389221557,0,100,9,9,KDM6A (9),KRAS (9)
KDM6A,KIAA1549,2,7,6,653,31.095238095238095,1,"5.32230279868145,181.672082324796",0.00433764919472233,0.00775710987377351,2.362745574257482,9,8,1.347305389221557,1.1976047904191616,13.333333333333334,86.66666666666667,9,8,KDM6A (9),KIAA1549 (8)
KDM6A,PCLO,2,7,6,653,31.095238095238095,1,"5.32230279868145,181.672082324796",0.00433764919472233,0.00775710987377351,2.362745574257482,9,8,1.347305389221557,1.1976047904191616,13.333333333333334,86.66666666666667,9,8,KDM6A (9),PCLO (8)
KDM6A,CCDC168,1,8,7,652,11.642857142857142,1,"1.27943017551643,105.950387166899",0.10335379457867266,0.1405198649932009,0.9856735738569518,9,8,1.347305389221557,1.1976047904191616,6.25,93.75,9,8,KDM6A (9),CCDC168 (8)
KDM6A,DNHD1,1,8,7,652,11.642857142857142,1,"1.27943017551643,105.950387166899",0.10335379457867266,0.1405198649932009,0.9856735738569518,9,8,1.347305389221557,1.1976047904191616,6.25,93.75,9,8,KDM6A (9),DNHD1 (8)
KDM6A,MAGEL2,1,8,7,652,11.642857142857142,1,"1.27943017551643,105.950387166899",0.10335379457867266,0.1405198649932009,0.9856735738569518,9,8,1.347305389221557,1.1976047904191616,6.25,93.75,9,8,KDM6A (9),MAGEL2 (8)
KDM6A,COL4A3,1,8,7,652,11.642857142857142,1,"1.27943017551643,105.950387166899",0.10335379457867266,0.1405198649932009,0.9856735738569518,9,8,1.347305389221557,1.1976047904191616,6.25,93.75,9,8,KDM6A (9),COL4A3 (8)
KDM6A,IGSF10,2,7,6,653,31.095238095238095,1,"5.32230279868145,181.672082324796",0.00433764919472233,0.00775710987377351,2.362745574257482,9,8,1.347305389221557,1.1976047904191616,13.333333333333334,86.66666666666667,9,8,KDM6A (9),IGSF10 (8)
