sample_id	aliquot_id	Parent RNA	Notes	DNA/ RNA Pair Category
7316-1456	717123	RNA [568035]	Has DNA that shipped from the same extraction	Same TISS Aliquot
7316-1459	746101	RNA [744180]	Has DNA that shipped from the same extraction	Same Extraction
7316-146	717187	RNA [677110]	Has DNA that shipped from the same extraction	Same Extraction
7316-1460	1030647	Not found	Different TISS aliquot	Different TISS Aliquot
7316-1461	731879	RNA [729721]	Has DNA that shipped from the same extraction	Same Extraction
7316-1462	588355	RNA [583306]	Has DNA that shipped from the same extraction	Same Extraction
7316-1463	571407	RNA [567601]	Has DNA that shipped from the same extraction	Different TISS Aliquot
7316-1464	470021	RNA [416632]	Has DNA that shipped from the same extraction	Same Extraction
7316-147	564462	RNA [559559]	Has DNA that shipped from the same extraction	Same Extraction
7316-1473	470024	RNA [415511]	Has DNA that shipped from the same extraction	Same Extraction
7316-1476	588298	RNA [581277]	Has DNA that shipped from the same extraction	Same Extraction
7316-148	564460	RNA [555705]	Has DNA that shipped from the same extraction	Same Extraction
7316-1480	470425	RNA [456745]	Has DNA that shipped from the same extraction	Same Extraction
7316-152	717113	RNA [565698]	Has DNA that shipped from the same extraction	Same Extraction
7316-153	549583	RNA [440137]	Has DNA that shipped from the same TISS Aliquot	Same TISS Aliquot
7316-154	588334	RNA [582979]	Has DNA that shipped from the same extraction	Same Extraction
7316-155	406957	Not found	Different TISS aliquot	Different TISS Aliquot
7316-156	588333	RNA [582978]	Has DNA that shipped from the same extraction	Same Extraction
7316-158	1030653	Not found	Different TISS aliquot	Different TISS Aliquot
7316-16	588306	RNA [581549]	Has DNA that shipped from the same extraction	Same Extraction
7316-160	549587	RNA [466883]	Has DNA that shipped from the same extraction	Same Extraction
7316-161	994696	RNA [466884]	Has DNA that shipped from the same extraction	Same Extraction
7316-161	406959	Not found	Different TISS aliquot	Different TISS Aliquot
7316-162	564459	RNA [555704]	Has DNA that shipped from the same extraction	Same Extraction
7316-1635	731920	RNA [731328]	Has DNA that shipped from the same extraction	Same Extraction
7316-1636	731857	RNA [728439]	Has DNA that shipped from the same extraction	Same Extraction
7316-1637	654208	RNA [612280]	Has DNA that shipped from the same extraction	Same Extraction
7316-164	734523	RNA [571288]	Has DNA that shipped from the same extraction	Different TISS Aliquot
7316-1641	711695	RNA [587842]	Has DNA that shipped from the same extraction	Same Extraction
7316-1643	601593	RNA [591129]	Has DNA that shipped from the same extraction	Same Extraction
7316-1646	711669	RNA [665661]	Has DNA that shipped from the same extraction	Same Extraction
