Tumor_Sample_Barcode	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total
BS_ZAT0XJE5	1	0	2	0	48	0	0	1	2	54
BS_185Q218S	2	0	1	0	45	2	0	2	1	53
BS_HZV4WDTB	1	1	1	0	48	2	0	0	0	53
BS_MHT5C2AP	0	0	1	1	49	1	0	1	0	53
BS_MWZCP1XW	2	1	2	0	46	1	0	0	1	53
BS_WMEYJGDC	0	0	2	0	49	1	0	1	0	53
BS_XMP9XNR9	2	2	1	0	42	2	0	4	0	53
BS_1Q524P3B	9	5	1	1	29	3	0	4	0	52
BS_2NN6ME5A	3	3	2	0	37	7	0	0	0	52
BS_80X7AVCP	1	1	0	0	45	0	0	2	3	52
BS_AQMKA8NC	0	1	3	0	45	1	0	0	2	52
BS_E5H6CFYT	0	2	2	0	44	1	0	0	3	52
BS_3JE2T7AR	2	1	0	0	45	1	0	2	0	51
BS_CWQ35N2K	0	0	0	1	42	0	0	2	6	51
BS_E5B2YZJH	1	1	0	0	49	0	0	0	0	51
BS_F8KR1QWE	3	3	0	0	42	1	0	2	0	51
BS_GBT44HST	0	0	2	0	46	1	0	2	0	51
BS_1S5V7WWC	5	2	7	2	31	2	0	1	0	50
BS_402W79TS	0	0	4	1	42	3	0	0	0	50
BS_55N7KFHW	2	0	2	0	44	0	0	1	1	50
BS_Y43VC4VG	0	1	2	0	40	1	0	1	5	50
BS_2HDEZFTW	0	0	1	1	43	1	0	2	0	48
BS_541KKASA	1	0	2	0	39	2	0	4	0	48
BS_7XZNDFV4	2	1	3	0	40	1	0	0	1	48
BS_H0638GZT	6	4	1	0	33	1	0	3	0	48
BS_N0Z6V2YG	1	0	0	1	44	1	0	1	0	48
BS_NFT9VHMJ	2	3	1	2	36	2	0	2	0	48
BS_VPJ9CARN	0	1	2	0	40	2	0	1	2	48
BS_ZCY4ECNV	0	0	0	0	47	0	0	1	0	48
BS_85Y70BHE	2	0	4	0	37	1	0	1	2	47
BS_APAQ2X2S	2	0	0	0	39	0	0	1	5	47
BS_AYPBAHJ6	0	3	2	0	35	4	0	3	0	47
BS_CKY2TTXG	2	1	3	1	35	1	0	4	0	47
BS_D6STCMQS	4	5	2	0	26	4	1	5	0	47
BS_H8MAKDRB	2	0	2	0	41	1	1	0	0	47
BS_JR56RQDC	1	2	4	0	38	1	0	0	1	47
BS_KKWQW01N	0	0	0	1	38	2	0	1	5	47
BS_M1TDS9CT	0	1	2	0	37	1	0	0	6	47
BS_NMQTPVFW	2	0	2	0	41	2	0	0	0	47
BS_W9FW1PAE	1	0	3	0	38	1	0	0	4	47
BS_YBCQBCQC	4	1	3	0	31	3	0	5	0	47
BS_YHXMYDBN	9	5	1	0	24	3	0	5	0	47
BS_230S192D	1	2	1	0	35	5	0	2	0	46
BS_9R82A3VT	0	0	5	0	40	1	0	0	0	46
BS_A6YJ3WG2	2	0	3	0	37	3	0	1	0	46
BS_ABZ3BK38	4	1	2	1	35	2	0	1	0	46
BS_CZRA594T	0	0	0	0	42	2	1	0	1	46
BS_FVYBGMG1	2	0	0	0	41	2	0	1	0	46
BS_G16NM5WJ	0	0	0	0	45	0	0	0	1	46
BS_NTXHP7QR	0	0	0	0	44	2	0	0	0	46
BS_TE8QFF7T	1	0	0	0	41	1	0	2	1	46
BS_40FX713C	2	1	1	0	40	1	0	0	0	45
BS_58X7SKJS	4	0	7	0	30	1	0	1	2	45
BS_ABENB1H2	0	0	1	0	37	3	0	0	4	45
BS_GKPVZXYP	0	1	1	0	40	2	0	1	0	45
BS_KPG4WCHS	2	1	0	0	37	2	0	2	1	45
BS_MW16Y7ME	0	0	0	0	43	1	0	1	0	45
BS_P42V737Y	5	1	5	0	30	1	0	3	0	45
BS_SK4H5MJQ	6	0	2	2	32	3	0	0	0	45
BS_Y7CA8B5R	6	8	2	0	28	0	0	1	0	45
BS_53TV75NN	1	0	5	0	33	1	0	4	0	44
BS_6687ZNGS	0	0	0	0	41	3	0	0	0	44
BS_DVQYQSVW	1	0	1	0	36	0	0	2	4	44
BS_FNF1TCSW	0	0	2	1	37	2	0	1	1	44
BS_HEJ72V3F	2	1	1	1	35	4	0	0	0	44
BS_HZNKSQ17	4	0	0	0	37	2	0	1	0	44
BS_VVD8TJNE	11	4	2	3	23	0	0	1	0	44
BS_2E81A3FT	0	1	0	0	38	1	0	0	3	43
BS_328C4BW5	2	2	2	0	33	3	0	1	0	43
BS_B1X2SB4P	1	1	0	1	36	0	0	0	4	43
BS_DGG7YE8R	3	0	1	0	36	1	0	1	1	43
BS_FWP8ZA4K	2	4	0	0	30	5	0	2	0	43
BS_M4E4H6NG	14	0	1	0	25	2	0	1	0	43
BS_R7YMKNJN	2	1	1	1	38	0	0	0	0	43
BS_XNTQBZAJ	4	1	3	0	30	3	0	2	0	43
BS_47454JJ6	1	0	3	1	32	4	0	0	1	42
BS_74TZJTW0	1	0	2	0	33	3	0	2	1	42
BS_79NQJZ09	2	1	2	0	33	1	0	3	0	42
BS_BX8AR74E	5	6	2	1	26	1	0	1	0	42
BS_S7S6YEHA	5	1	0	0	35	1	0	0	0	42
BS_YH60H2FS	2	0	2	1	35	0	0	1	1	42
BS_1JMTTKMK	0	3	1	0	33	2	0	2	0	41
BS_23ZE42Q3	3	1	4	0	28	3	0	2	0	41
BS_4P25NNZD	0	0	1	0	38	1	0	0	1	41
BS_7M7JNG00	1	0	1	0	35	3	0	1	0	41
BS_D3XVXF05	0	1	0	0	39	1	0	0	0	41
BS_F969DNHD	0	0	1	0	35	2	0	1	2	41
BS_KCN7NG92	1	3	2	0	30	2	0	2	1	41
BS_TF5TTEXH	1	0	1	0	36	2	0	1	0	41
BS_XPZAD9PP	0	0	3	0	37	1	0	0	0	41
BS_8SYN7GXG	2	1	1	0	33	3	0	0	0	40
BS_BBTT7DH4	3	1	2	0	33	0	0	1	0	40
BS_E8MC6R2K	2	1	4	0	33	0	0	0	0	40
BS_J8EH1N7V	1	0	1	1	35	1	0	1	0	40
BS_KG1YMTA4	0	1	0	0	38	1	0	0	0	40
BS_KJQXZ8GK	3	1	3	0	31	2	0	0	0	40
BS_W9P0PFDH	1	0	3	0	36	0	0	0	0	40
BS_XKP747AS	1	0	0	0	38	0	0	0	1	40
BS_YZ0P5E8H	1	0	2	0	37	0	0	0	0	40
BS_1B4Q7CNG	1	0	0	0	33	1	0	0	4	39
BS_2VB8649B	0	0	4	1	29	0	0	1	4	39
BS_6Q9PMNWY	3	3	5	1	25	2	0	0	0	39
BS_FG649AWK	0	0	5	2	31	1	0	0	0	39
BS_FVPMPMRJ	1	0	1	0	34	0	0	1	2	39
BS_MJJZJMTK	4	1	2	0	31	1	0	0	0	39
BS_NMJPX8VQ	1	2	1	0	32	1	0	0	2	39
BS_XVBX7ZK1	0	1	0	0	30	0	0	1	7	39
BS_0ATJ22QA	2	4	2	0	25	3	0	2	0	38
BS_0YVR8Q4E	0	1	3	0	31	1	0	1	1	38
BS_6NPSZJ4C	1	0	0	0	33	0	0	1	3	38
BS_AGGH3QGS	4	2	4	0	22	1	0	5	0	38
BS_HN8DE43A	0	1	1	0	33	2	0	1	0	38
BS_KSRYKCDE	0	0	1	0	32	0	0	0	5	38
BS_KYPMZZSY	6	0	2	0	25	2	0	3	0	38
