"","stranded_over_polya_logFC","average_logCPM","F","PValue","BH FDR"
"SAMD10",-0.0491226461945032,2.76253535229966,0.0162199481811419,0.900631125733166,0.9785661106502
"BX322234.1",-0.0846775489871219,-1.13278678696675,0.0162192918376654,0.900633124563698,0.9785661106502
"LRRC75A",0.0661762474094013,3.0158042144955,0.0162143204168901,0.900648265880938,0.9785661106502
"FAM84A",0.0708925253017538,6.17982287582408,0.0162096771055156,0.900662410017765,0.9785661106502
"TFAP2A",0.200949888248421,3.66807955109845,0.0161972535812437,0.900700263844012,0.9785661106502
"EMP3",-0.120137757844855,5.53964622253067,0.0161949687283481,0.900707227278678,0.9785661106502
"CHKB-CPT1B",0.0950094036677795,1.81183844688303,0.016192976482324,0.900713299357545,0.9785661106502
"PRELID3A",-0.0647220764700528,2.89685534109816,0.0161875723435961,0.900729772307733,0.9785661106502
"DIS3L",-0.0350585221921783,5.44085395631358,0.0161567040449244,0.900823919042216,0.97857340745191
"SIGLEC8",0.120362956642199,3.59489478144709,0.0161461642681515,0.900856085775066,0.97857340745191
"MID1IP1",-0.0448509522279809,6.15704724504531,0.0161266908795593,0.900915545437739,0.97857340745191
"CA7",-0.102137347099528,-2.28002362535113,0.016125563039542,0.900918990280932,0.97857340745191
