Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
BS_67Z63A2K	0.0126980694366929	0	0	0.0110659310735606	0	0.110249161772696	0	0.0310960724812382	0.00128839594671044	0	0.0345462112578971	0.00353039732512985	0.0378490910324194	0	0	0.0649260105543878	0	0	0.0212203199059152	0	0.00252097540650318	0.00900936380684876	9999	-0.00546747750219667	1.09122663508808	0.34
BS_680K119G	0	0.0215980674164595	0	0	0.000593181030552599	0.031128410096228	0	0.00696192751472356	0	0	0	0.0160462289047627	0.0847001855853114	0	0	0.30547143902047	0	0.000267452632491232	0	0.0612353870420971	0.00199772075690426	0	9999	0.0412808363169775	1.10835488145081	0.53
BS_68BW2163	0	0.0108442747330525	4.32442591928524e-05	0	0.0158113858282089	0.00549171151029423	0	0.0284174101610357	0	0	0	0.0124340661776936	0.0590834229875766	0	0	0.16495849329718	0	0.0018084999871469	0	0.0842537768898774	0.00556456550365735	0.00128914866508395	9999	-0.00712160941019298	1.118429650358	0.39
BS_699TN5RN	0.107437485108337	0	0.0444392091144497	0.179619006625099	0	0.175680445214974	0	0.0134382438663535	0.0231850100964695	0	0.0445333215851047	0	0.26127993119634	0	0.0253813918388903	0.747969069654321	0	0	0.00108386264134436	0	0	0.0159530230583162	9999	0.127114735064674	1.04152167510142	1.64
BS_69V8P8A0	0.000153635881913001	0.00147853127848204	0	0.0319310164893789	0	0.11291444750193	0	0.0143004229136675	0.0012331814271939	0	0.0194112910547386	0.0230637506693851	0.0817733083003495	0	0.00342116860777001	0.287045080607261	0.000748570697586722	0	0.0584297986934745	0	0.0040957958768693	0	9999	0.137265871376738	1.034523143465	0.64
BS_6DCSD5Y6	0.0023352001781327	0	0.00255864625916702	0	0	0.226506683431237	0	0.0590550007917204	0	0	0.0138914659396915	0.0181453773872692	0.0459230928736589	0.0973710512006604	0.00399041249573082	0.0163709130583129	0	0	0.124634997453441	0	0.00921715893097785	0	9999	0.0146270336970501	1.08532765501566	0.62
BS_6G6C7VPX	6.32871733720244e-05	0.00652499557631497	0	0	0	0.0868137136733159	0	0.0498017000912528	0	0	0	0.0609749042518088	0.0645646048833837	0.104491604438745	0	0	0	0	0.0104765251187089	0	0.0162886647930976	0	9999	-0.0360282881986938	1.11867067054371	0.4
BS_6H1C1ME9	0.0178948643036785	0	0.0102395584905649	0.0079531548335459	0	0.0770030430663916	0	0.0218663310905733	0	0	0.0568600641850083	0	0.063307211150101	0.0939080614281547	1.08636906864189e-06	0.243925425495681	0	0	0	0.0598453621801648	0	0.0671958374070678	9999	0.0625062243477159	1.07368167942779	0.72
BS_6HTK4YJP	0	0.0352584559934857	0.120352826909725	0.0972343768398194	0.0689178796932883	0.133870604383657	0	0.12091810934194	0	0	0.0614398658779605	0.0682640676277187	0.0773146368845065	0.00292403620630545	0	0.411234138020692	0	0	0.06439626041354	0	0	0.0478747418073629	9999	0.125656308701468	1.03149010350031	1.31
BS_6JHXXVR7	0	0.00819418725081588	0.00290448798443123	0.0103758899324451	0	0.0430419704562846	0	0.00783745534049394	0.00174300030804574	0	0.0140724837493742	0	0.109567342698977	0	0	0.219815452115034	0.00363330933217277	0.000884019046585148	0.0279304017853409	0	0	0	9999	0.0135189019692275	1.10231411160073	0.45
BS_6MY8W3H0	0	0.0263653122125964	0	0	0	0.0568873745361194	0	0.0322728702433902	0	0	0	0.0299943331234838	0.0817357191063621	0	0	0.0665173230692574	0	0	0	0.0838989325684367	0	0.00232813514035403	9999	-0.0297795519394094	1.113275415561	0.38
BS_6MZ7FRZH	0.00684097074619094	0	0	0.0528271644549486	0	0.070002107180645	0	0.0329848138723142	0	0	0.00482293979687082	0.0262794192192487	0.0175889088247847	0	0.00664274568437194	0.26891010898806	0	0.0228072223834176	0.0533060655864066	0	0	0.0069875332627404	9999	-0.00575858877572685	1.09155882246764	0.57
BS_6N3AFF66	0.00278533077741848	0	0	0.00989642231398848	0	0.0579257732172423	0	0.0144730676075072	0	0	0	0.0299241223321275	0.0591697241061341	0	0	0.184886132833423	0	0.00230609765669826	0	0.0998252801357566	0.00250717211062924	0.00630087690907496	9999	0.214326172923684	1.01401672491495	0.47
BS_6NRTJSYK	0	0.00541809232963368	0.0022560878825095	0.000570039591103853	0	0.0390154801252779	0	0.0464182876541466	0	0	0.0011579236893467	0	0.0122722846116463	0.0362537581025293	0	0.0401437597279663	0	0	0.00896349310336296	0	0	0.017530793182477	9999	-0.022907480776431	1.10219718747306	0.21
BS_6NTXGQAC	0.00633228981375215	0.0157710012185549	0	0.0764058765917136	0	0.208144551882188	0	0.0243749811260304	0.00817762777309614	0	0.109233964266935	0.0069776149221824	0.18687919472619	0	0.00240950625132175	0.36003388370294	0	0	0.0790080767822265	0	0	0.0162514309428687	9999	0.0409075335632457	1.06784536711674	1.1
BS_6P50QTPP	0.00191374777513367	0	0	0.0295379371246409	0	0.0278558855405911	0	0.0108679009019216	0	0	0	0.0347927106818901	0.0462505683106941	0	0	0.415254450231297	0	0.00067600566888244	0	0.152703311239481	0.00114595877573841	0.0190015237497294	9999	0.175776271420397	1.04960566695257	0.74
BS_6R7SFVV2	0.0931731835156038	0	0.014272424778163	0.0960429691954163	0	0.07724703458107	0	0.00371645385842711	0	0	0.0188803791932542	0	0.0323603963689933	0	0.036056011630998	0.313533331331352	0	0	0.0969193314802581	0	0	0.0177984840664644	9999	0.195133605201224	1.00249190978993	0.8
BS_6T4JGBGY	0	0.00882141087317778	0.0206738206492064	0.0628909717890498	0	0.00783229825256613	0	0.0488950723788426	0.00420817382163376	0	0.0253614234472488	0	0.0580301494162278	0.0113060711882011	0.00726504402594847	0.243284705090301	0.0014975474293484	0	0.082026684643533	0	0	0.0079066269947154	9999	0.0478756713091107	1.06311497886284	0.59
BS_6VF6VPCG	0.000124619013759359	0.0101725421228547	0	0.0934463014166861	0	0.188834831894679	0	0.00925441983953629	0.00507106205813745	0	0	0	0.158257099045928	0	0	0.412176549054137	0	0	0	0	0	0.0326625755542824	9999	0.107684125561577	1.05744078946977	0.91
BS_6VPKXXMR	0.000584538709012165	0.00103734719255353	0	0	0	0.059529988006998	0	0	0	0	0.00310586295285454	0.0164273349653762	0.0197149604763889	0.166210728570694	0.00845012143443459	0.169941319544714	0	0	0.0149977981469746	0	0	0	9999	0.0657810818991019	1.11282604214617	0.46
BS_6WP1FHTE	0.00165245660904177	0.0110024898146176	0	0.0714219571195982	0	0.105122608880287	0	0.0229077735898184	0	0	0.030610170461089	0.0205306595011738	0.182568028572114	0	0.0337348329240603	0.404015627597745	0	0.00750757321756371	0.000950928465642056	0	0	0.00797489324724956	9999	0.0792339470662433	1.0669421573719	0.9
BS_6YMJ621P	0.000607776634242332	0.00171667427984984	0	0.0749736589657237	0	0.104771311102897	0	0.0170182338601477	0.00249667652684963	0	0	0.0150423733459636	0.0331383764024948	0	0	0.168414857387527	0	0	0.0705903676135129	0	0.00122969388079196	0	9999	0.0361552922651145	1.07237119855983	0.49
