"","stranded_over_polya_logFC","average_logCPM","F","PValue","BH FDR"
"NDUFAF8",-0.436627953008961,4.93551512567286,1.30474247183465,0.260146810880702,0.439381818377249
"SLU7",-0.317839586678411,4.68900771945084,1.28785910447374,0.263204223408512,0.444195955319637
"LONP1",-0.582612631906617,5.15881400643669,1.2848475429988,0.263754395858186,0.444774511883498
"PRPF18",-0.326987905642269,4.62327942065679,1.27904072629723,0.264819377569371,0.446219611065437
"MTFR1L",-0.308492955164163,4.66014700683516,1.27003173344018,0.266482550634275,0.448669600557708
"KCTD5",-0.37703588827052,4.78605126510787,1.26585107516073,0.267258893778585,0.449623786003973
"RNF44",0.355376630336094,4.78998308306024,1.26430129093337,0.26754742272433,0.449667465345912
"HAT1",-0.431148758107397,4.96384086959332,1.26346047555773,0.267704127387753,0.449667465345912
"SND1",0.305148571879198,4.64759610210727,1.25921268766929,0.26849759827412,0.450647377384967
"RACK1",-0.378708369054646,4.82639409160389,1.25064733357812,0.270106771620394,0.452993764758206
"PPP1CA",-0.334965174870676,4.77292329883769,1.24573172409744,0.271035862306497,0.453910566785023
"WBP11",-0.328048083112523,4.65070443375975,1.24551636828676,0.271076660163923,0.453910566785023
"GDI2",-0.338709493084563,4.75620649406498,1.23946261117005,0.272226746043358,0.455480788036663
"MAP2K2",-0.306756738004444,4.68745927616211,1.2365635909609,0.272779721742095,0.456050275243019
"EDC3",0.282797763335838,4.6789119498903,1.23355938226701,0.273354288506781,0.456654944584926
"ABCB10",-0.38930259113437,4.81131626778139,1.23166756099836,0.273716906866832,0.456904875664868
"PCID2",-0.320017527580872,4.79653957931676,1.22380015814621,0.275231574387499,0.459075993049134
"CCDC47",-0.336990388604882,4.69805347742157,1.22161728334293,0.275653746353556,0.459422910589259
"GRHPR",-0.301628564417179,4.68857473535923,1.21734055812889,0.276483299338176,0.460447730652475
"SUSD6",0.32881753124967,4.76379467118785,1.21164932173706,0.277592232980724,0.461723915086426
"FARSA",-0.311619321440704,4.68214893302812,1.21119954446287,0.277680116765263,0.461723915086426
"SCAMP3",-0.44483932080923,4.95474204934842,1.20716518832086,0.278470017384477,0.462643281218757
"CBR4",-0.425133274864215,4.88227577511687,1.20617470852026,0.278664391298198,0.462643281218757
"RAB2B",-0.314372220859264,4.76071180891211,1.20268059502537,0.279351488171742,0.463366794571205
"GLRX2",-0.653971605411819,5.30318291389725,1.20176331484888,0.27953222945228,0.463366794571205
"MRPS18A",-0.319455229148685,4.80525966949661,1.19948840031499,0.279981133890563,0.463752534513712
"ALDH9A1",-0.411479857791672,4.90542420561197,1.19048456935543,0.28176704087552,0.466350542189807
"SLC41A3",-0.330218663816639,4.64412922171633,1.18867757279462,0.282127237715715,0.46658668072491
"RNF126",-0.329908063662091,4.79022355941235,1.18569620644126,0.282722835438133,0.466910326804416
"API5",-0.316613172719016,4.66444955820275,1.18551903077554,0.28275828182701,0.466910326804416
"SF1",0.308576025003295,4.66509668951534,1.18213129171709,0.283437157354349,0.467334785948325
"MED29",-0.316015200134835,4.76934385370321,1.1810983217093,0.283644577696691,0.467334785948325
"CTNNB1",0.309547727433224,4.67773551874379,1.18097702512838,0.283668946995207,0.467334785948325
"SMC1A",0.444863037788563,4.96750429056368,1.17823827536699,0.284219905938174,0.467883114533678
"RAB14",-0.358682382944572,4.813462039801,1.17465877571882,0.284942101272506,0.468712275482765
"TMEM184B",0.354315565542759,4.84359090323691,1.16764715508346,0.286363697584855,0.470689755800394
"DLGAP4",0.299061523436252,4.73252053218507,1.16613204630607,0.286672097711175,0.470835872580759
"SNAPIN",-0.432502188803031,4.9166223346211,1.16077267255843,0.28776648072625,0.47227169178103
"SAMD4B",0.289659436624991,4.62740701101445,1.15602908149153,0.288739675776406,0.473506578394795
"HSP90B1",-0.377270106363045,4.84865069453881,1.15429878351155,0.289095733942741,0.473728303519617
"G3BP1",0.343256947348839,4.75638787885291,1.15230053288495,0.289507645581101,0.474041144863711
"RELA",-0.294206393056361,4.65296880891067,1.14672112782117,0.290661834415579,0.475567989947687
"MRPL22",-0.290263541319247,4.69939667359405,1.14052450141578,0.291950777074777,0.476819926436035
"LAMP2",-0.336645882398635,4.71769827144292,1.1398458309006,0.292092400145012,0.476819926436035
"GORASP2",-0.301106331772184,4.65403895023918,1.13983871760034,0.292093885005571,0.476819926436035
"FNBP4",0.310639577375828,4.59866970186022,1.13619238800464,0.292856340271583,0.477701026526651
"TPP2",0.313411902097996,4.70207277857388,1.12153808595218,0.295947075881172,0.481932471736144
"EIF5A",-0.366577306263672,4.8340639129987,1.12068772914647,0.296127738191419,0.481932471736144
"MIEF1",0.313575932996801,4.74761523140175,1.1199305229813,0.296288732406496,0.481932471736144
"SOS2",0.351108710577074,4.85430438844039,1.11964649228487,0.296349151617704,0.481932471736144
